27/04/19 04:56:07 DEBUG 	 com.evilcorp.imagerecognition.Constants: 29 - OS TYPE: windows 7
27/04/19 04:56:07 ERROR 	 com.evilcorp.imagerecognition.api.ImageAPITest: 32 - 
27/04/19 04:56:07 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 34 - Trying to load picture
27/04/19 04:56:16 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 27 - Trying to load library...
27/04/19 04:56:16 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 25 - Checking OS...
27/04/19 04:56:16 DEBUG 	 com.evilcorp.imagerecognition.Constants: 63 - Obtaining progerty: PATH_TO_NATIVE_LIB_WIN
27/04/19 04:56:16 DEBUG 	 com.evilcorp.imagerecognition.Constants: 63 - Obtaining progerty: IMAGE_ORIGIN_DIR_PATH
27/04/19 04:56:16 DEBUG 	 com.evilcorp.imagerecognition.Constants: 63 - Obtaining progerty: IMAGE_RESULTS_DIR_PATH
27/04/19 04:56:16 DEBUG 	 com.evilcorp.imagerecognition.Constants: 29 - OS TYPE: windows 7
27/04/19 04:56:16 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - WINDOWS
27/04/19 04:56:16 DEBUG 	 com.evilcorp.imagerecognition.Constants: 29 - OS TYPE: windows 7
27/04/19 04:56:16 ERROR 	 com.evilcorp.imagerecognition.api.ImageAPITest: 32 - 
27/04/19 04:56:16 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 34 - Trying to load picture
27/04/19 05:00:50 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 27 - Trying to load library...
27/04/19 05:00:50 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 25 - Checking OS...
27/04/19 05:00:50 DEBUG 	 com.evilcorp.imagerecognition.Constants: 63 - Obtaining progerty: PATH_TO_NATIVE_LIB_WIN
27/04/19 05:00:50 DEBUG 	 com.evilcorp.imagerecognition.Constants: 63 - Obtaining progerty: IMAGE_ORIGIN_DIR_PATH
27/04/19 05:00:50 DEBUG 	 com.evilcorp.imagerecognition.Constants: 63 - Obtaining progerty: IMAGE_RESULTS_DIR_PATH
27/04/19 05:00:50 DEBUG 	 com.evilcorp.imagerecognition.Constants: 29 - OS TYPE: windows 7
27/04/19 05:00:50 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - WINDOWS
27/04/19 05:00:50 DEBUG 	 com.evilcorp.imagerecognition.Constants: 29 - OS TYPE: windows 7
27/04/19 05:00:50 ERROR 	 com.evilcorp.imagerecognition.api.ImageAPITest: 32 - 
27/04/19 05:00:50 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 34 - Trying to load picture
27/04/19 05:01:31 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 27 - Trying to load library...
27/04/19 05:01:31 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 25 - Checking OS...
27/04/19 05:01:31 DEBUG 	 com.evilcorp.imagerecognition.Constants: 29 - OS TYPE: windows 7
27/04/19 05:01:31 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - WINDOWS
27/04/19 05:01:31 DEBUG 	 com.evilcorp.imagerecognition.Constants: 29 - OS TYPE: windows 7
27/04/19 05:01:31 ERROR 	 com.evilcorp.imagerecognition.api.ImageAPITest: 32 - 
27/04/19 05:01:31 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 34 - Trying to load picture
27/04/19 10:16:09 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 27 - Trying to load library...
27/04/19 10:16:09 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 25 - Checking OS...
27/04/19 10:16:09 DEBUG 	 com.evilcorp.imagerecognition.Constants: 29 - OS TYPE: windows 7
27/04/19 10:16:09 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - WINDOWS
27/04/19 10:16:09 DEBUG 	 com.evilcorp.imagerecognition.Constants: 29 - OS TYPE: windows 7
27/04/19 10:16:09 ERROR 	 com.evilcorp.imagerecognition.api.ImageAPITest: 32 - 
